Marca temporal,ï¿½En que segmento te encuentras segun tu edad?,ï¿En que estacion te gusta salir de vacaciones generalmente?,Generalmente planeas tus vacaciones con: Pareja/Amigos/Solo/Familia,ï¿½Que es lo que mas te gusta hacer en tus vacaciones?,ï¿½Que tipo de de actividades te gustan para hacer turismo??,ï¿½Que tipo de deporte te gusta practicar en tus vacaciones?,ï¿½Que prefieres hacer cuando sales en tus vacaciones?,ï¿½Como te gusta pasar tu tiempo libre en tus vacaciones?,ï¿½Que prefieres a la hora de salir a comer o tomar algo?,"Si tuvieras que elegir, tus promas vacaciones serian en:",ï¿½Cual de estos destinos de Argentina elegirias segun las respuestas dadas anteriormente?
2022/02/21 2:05:20 p.ï¿½m. GMT-3,Entre 25 y 34 aï¿½os,Verano,Amigos,Relajarse;Disfrutar de la gastronomia,Disfrutar y recorrer tranquilamente;Ir a Festivales o Eventos si hubiera en esa fecha,No hago deportes en vacaciones,Discoteca;Bar;Fiestas o Festivales del destino si hay en esa fecha,"Disfrutar de la naturaleza, playa, parque,montana, etc","Restaurante tipico del destino (con sus platos, tragos, etc);Tomar un aperitivo y picar algo;Lo decido en el momento segun me parece",En verano en un destino con playa,Mar del Plata -  En verano
2022/02/21 2:07:41 p.ï¿½m. GMT-3,Menos de 25 aï¿½os,Verano,Amigos,Salidas nocturnas;Hacer turismo en el destino vacacional,Recorrer solo los puntos de interes del destino;Ir a Festivales o Eventos si hubiera en esa fecha,No hago deportes en vacaciones,Discoteca;Concierto o musica en vivo;Fiestas o Festivales del destino si hay en esa fecha,"Disfrutar de la naturaleza, playa, parque,montana, etc","Restaurante tipico del destino (con sus platos, tragos, etc);busco comentarios en Google Maps / TripAdvisor/ Kayak / etc",En verano en un destino con montana y naturaleza,Mar del Plata -  En verano
2022/02/21 2:07:44 p.ï¿½m. GMT-3,Entre 25 y 34 aï¿½os,Verano,Amigos,Relajarse;Salidas nocturnas,Conocer mayormente el destino por cuenta propia;Disfrutar y recorrer tranquilamente,Running,Bar;Concierto o musica en vivo;Fogata nocturna,"Disfrutar de la naturaleza, playa, parque,montana, etc",Tomar un aperitivo y picar algo;Lo decido en el momento segun me parece,En verano en un destino con playa,Mendoza - Excepto invierno
2022/02/21 2:09:38 p.ï¿½m. GMT-3,Entre 25 y 34 aï¿½os,Verano,Amigos,Salidas nocturnas;Disfrutar de la gastronomia,Disfrutar y recorrer tranquilamente;Ir a Festivales o Eventos si hubiera en esa fecha,Deportes extremos,Bar;Concierto o musica en vivo;Festivales en destino si hay en esa fecha,"Disfrutar de la naturaleza, playa, parque,montana, etc",Tomar un aperitivo y picar algo;Ir a tomar algo solamente;Lo decido en el momento segun me parece,En verano en un destino con playa,Mar del Plata -  En verano
2022/02/21 2:25:08 p.ï¿½m. GMT-3,Entre 25 y 34 aï¿½os,Indiferente,Amigos,Salidas nocturnas;Hacer turismo en el destino vacacional,Conocer mayormente el destino por cuenta propia,Surf,Discoteca;Bar;Fogata nocturna,"Disfrutar de la naturaleza, playa, parque,montana, etc",Tomar un aperitivo y picar algo;Lo decido en el momento segun me parece,En verano en un destino con montana y naturaleza,Mendoza - Excepto invierno
2022/02/21 2:34:28 p.ï¿½m. GMT-3,Entre 25 y 34 aï¿½os,Verano,Familia,Relajarse;Hacer turismo en el destino vacacional,Conocer mayormente el destino por cuenta propia;Disfrutar y recorrer tranquilamente,Senderismo o Trekking,Discoteca;Bar,"Disfrutar de la naturaleza, playa, parque,montana, etc","Restaurante tipico del destino (con sus platos, tragos, etc);Tomar un aperitivo y picar algo;Lo decido en el momento segun me parece",En verano en un destino con montana y naturaleza,Cordoba - Primavera/Verano
2022/02/21 2:45:27 p.ï¿½m. GMT-3,Entre 25 y 34 aï¿½os,Verano,Amigos,Relajarse;Disfrutar de la gastronomia,Disfrutar y recorrer tranquilamente,Ski / Snowboard,Bar,"Disfrutar de la naturaleza, playa, parque,montana, etc",Lo decido en el momento segun me parece,En verano en un destino con playa,Bariloche - En invierno
2022/02/21 3:23:22 p.ï¿½m. GMT-3,Entre 25 y 34 aï¿½os,Indiferente,Amigos,Salidas nocturnas;Hacer turismo en el destino vacacional,Disfrutar y recorrer tranquilamente,No hago deportes en vacaciones,Fiestas o Festivales del destino si hay en esa fecha,"Disfrutar de la naturaleza, playa, parque,montana, etc","Restaurante tipico del destino (con sus platos, tragos, etc)",En verano en un destino con playa,Mendoza - Excepto invierno
2022/02/21 3:25:12 p.ï¿½m. GMT-3,Entre 25 y 34 aï¿½os,Verano,Amigos,Relajarse;Disfrutar de la gastronomia,Conocer mayormente el destino por cuenta propia;Solo alguna excursion especifica;Disfrutar y recorrer tranquilamente,Senderismo o Trekking;Deportes acuaticos (Kitesurf / windsurf / Parasailing / Standup Paddle / Kayak / Rafting),Bar;Concierto o musica en vivo;Fogata nocturna,"Disfrutar de la naturaleza, playa, parque,montana, etc","Restaurante tipico del destino (con sus platos, tragos, etc);busco comentarios en Google Maps / TripAdvisor/ Kayak / etc",En verano en un destino con montana y naturaleza,Cordoba - Primavera/Verano
2022/02/21 4:04:10 p.ï¿½m. GMT-3,Entre 25 y 34 aï¿½os,Verano,Amigos,Deportes / Aventura,Conocer mayormente el destino por cuenta propia,Senderismo o Trekking,Bar;Concierto o musica en vivo;Fogata nocturna,"Disfrutar de la naturaleza, playa, parque,montana, etc","Restaurante tipico del destino (con sus platos, tragos, etc);Lo decido en el momento segun me parece",En verano en un destino con playa,Mar del Plata -  En verano
2022/02/21 4:11:05 p.ï¿½m. GMT-3,Entre 25 y 34 aï¿½os,Verano,Familia,Salidas nocturnas;Hacer turismo en el destino vacacional,Disfrutar y recorrer tranquilamente;Ir a Festivales o Eventos si hubiera en esa fecha,No hago deportes en vacaciones,Bar;Concierto o musica en vivo;Fiestas o Festivales del destino si hay en esa fecha,"Disfrutar de la naturaleza, playa, parque,montana, etc","Restaurante tipico del destino (con sus platos, tragos, etc);Tomar un aperitivo y picar algo;Lo decido en el momento segun me parece",En otono / primavera en una capital o ciudad grande,Cordoba - Primavera/Verano
2022/02/21 5:30:49 p.ï¿½m. GMT-3,Entre 25 y 34 aï¿½os,Indiferente,Familia,Relajarse;Hacer turismo en el destino vacacional,Recorrer solo los puntos de interes del destino;Disfrutar y recorrer tranquilamente,Senderismo;Running;Ski / Snowboard,Discoteca;Bar;Fiestas o Festivales del destino si hay en esa fecha,"Disfrutar de la naturaleza, playa, parque,montana, etc","Restaurante tipico del destino (con sus platos, tragos, etc);Tomar un aperitivo y picar algo;Lo decido en el momento segun me parece",En verano en un destino con playa,Mar del Plata -  En verano
2022/02/21 6:50:06 p.ï¿½m. GMT-3,Entre 25 y 34 aï¿½os,Indiferente,Amigos,Deportes / Aventura;Hacer turismo en el destino vacacional,Disfrutar y recorrer tranquilamente,Senderismo o Trekking;Rafting,Fogata nocturna,"Disfrutar de la montana",Lo decido en el momento,En verano en un destino con montana y naturaleza,Mendoza - Excepto invierno
2022/03/01 12:06:45 p.ï¿½m. GMT-3,Entre 35 y 44 aï¿½os,Temporadas intermedias ( Otono / Primavera),Amigos,Salidas nocturnas;Hacer turismo en el destino vacacional,Conocer mayormente el destino por cuenta propia;Disfrutar y recorrer tranquilamente,Senderismo o Trekking,Discoteca;Bar;Concierto o musica en vivo,"Disfrutar de la naturaleza, playa, parque,montana, etc",busco comentarios en Google Maps / TripAdvisor/ Kayak / etc;Comer algo al paso / Llevar para comer en donde yo quiera,En otono / primavera en una capital o ciudad grande,Mendoza - Excepto invierno
2022/03/01 12:09:13 p.ï¿½m. GMT-3,Mï¿½s de 45 aï¿½os,Indiferente,Pareja,Relajarse;Hacer turismo en el destino vacacional,Excursiones de agencias turisticas;Disfrutar y recorrer tranquilamente,No hago deportes en vacaciones,No salgo mucho por la noche,"Dia de spa/sauna/masajes;Actividades de relajacion como yoga, pilates, entre otras","Restaurante tipico del destino (con sus platos, tragos, etc);Lo decido en el momento segun me parece",En otono / primavera en una capital o ciudad grande,Buenos Aires - Excepto en Verano
2022/03/04 10:13:54 a.ï¿½m. GMT-3,Entre 25 y 34 aï¿½os,Indiferente,Pareja,Relajarse;Hacer turismo en el destino vacacional,Conocer mayormente el destino por cuenta propia;Recorrer solo los puntos de interes del destino;Disfrutar y recorrer tranquilamente,No hago deportes en vacaciones,No salgo mucho por la noche,"Disfrutar de la naturaleza, playa, parque,montana, etc;Aprovechar del alojamiento y salir cuando tienes ganas;Dia de spa/sauna/masajes","Restaurante tipico del destino (con sus platos, tragos, etc);Cadenas (Mc Donals/ Burger King/ KFC / etc);Lo decido en el momento segun me parece",En verano en un destino con playa,Bariloche verano / cataratas del Iguazï¿½ verano invierno 
2022/03/04 11:51:30 a.ï¿½m. GMT-3,Entre 25 y 34 aï¿½os,Verano,Pareja,Hacer turismo en el destino vacacional;Disfrutar de la gastronomia,Excursiones de agencias turisticas;Conocer mayormente el destino por cuenta propia;Ir a Festivales o Eventos si hubiera en esa fecha,Deportes acuaticos (Kitesurf / windsurf / Parasailing / Standup Paddle / Kayak / Rafting),Bar;Concierto o musica en vivo;Fiestas o Festivales del destino si hay en esa fecha,"Disfrutar de la naturaleza, playa, parque,montana, etc","Restaurante tipico del destino (con sus platos, tragos, etc);Tomar un aperitivo y picar algo;Comer algo al paso / Llevar para comer en donde yo quiera",En verano en un destino con playa,Bariloche - En invierno
2022/03/04 12:32:03 p.ï¿½m. GMT-3,Entre 35 y 44 aï¿½os,Indiferente,Familia,Relajarse;Hacer turismo en el destino vacacional,Excursiones de agencias turisticas;Conocer mayormente el destino por cuenta propia,Senderismo o Trekking;Ski / Snowboard;Deportes acuaticos (Kitesurf / windsurf / Parasailing / Standup Paddle / Kayak / Rafting),No salgo mucho por la noche,"Disfrutar de la naturaleza, playa, parque,montana, etc;Aprovechar del alojamiento y salir cuando tienes ganas","Restaurante tipico del destino (con sus platos, tragos, etc)",En verano en un destino con playa,Bariloche - En invierno
2022/03/06 9:35:43 p.ï¿½m. GMT-3,Entre 35 y 44 aï¿½os,Temporadas intermedias ( Otono / Primavera),Pareja,Hacer turismo en el destino vacacional,Excursiones de agencias turisticas;Disfrutar y recorrer tranquilamente,Senderismo o Trekking,No salgo mucho por la noche,"Disfrutar de la naturaleza, playa, parque,montana, etc;Aprovechar del alojamiento y salir cuando tienes ganas","Restaurante tipico del destino (con sus platos, tragos, etc);Cadenas (Mc Donals/ Burger King/ KFC / etc);busco comentarios en Google Maps / TripAdvisor/ Kayak / etc",En otono / primavera en una capital o ciudad grande,Mendoza - Excepto invierno
2022/03/16 3:54:47 p.ï¿½m. GMT-3,Entre 35 y 44 aï¿½os,Temporadas intermedias ( Otono / Primavera),Familia,Relajarse;Hacer turismo en el destino vacacional,Conocer mayormente el destino por cuenta propia;Ir a Festivales o Eventos si hubiera en esa fecha,No hago deportes en vacaciones,No salgo mucho por la noche,Aprovechar del alojamiento y salir cuando tienes ganas,"Restaurante tipico del destino (con sus platos, tragos, etc);Lo decido en el momento segun me parece",En otono / primavera en una capital o ciudad grande,Mendoza - Excepto invierno
2022/03/16 3:56:35 p.ï¿½m. GMT-3,Mï¿½s de 45 aï¿½os,Indiferente,Solo/a,Hacer turismo en el destino vacacional;Disfrutar de la gastronomia,Excursiones de agencias turisticas;Disfrutar y recorrer tranquilamente;Ir a Festivales o Eventos si hubiera en esa fecha,Senderismo o Trekking,Concierto o musica en vivo,"Actividades de relajacion como yoga, pilates, entre otras",Tomar un aperitivo y picar algo;Comer algo al paso / Llevar para comer en donde yo quiera,En verano en un destino con montana y naturaleza,Cordoba - Primavera/Verano
2022/03/16 3:58:02 p.ï¿½m. GMT-3,Menos de 25 aï¿½os,Verano,Amigos,Relajarse;Salidas nocturnas,Recorrer solo los puntos de interes del destino;Disfrutar y recorrer tranquilamente,Running,Discoteca;Bar;Concierto o musica en vivo,"Disfrutar de la naturaleza, playa, parque,montana, etc","Restaurante tipico del destino (con sus platos, tragos, etc);Ir a tomar algo solamente;Cadenas (Mc Donals/ Burger King/ KFC / etc)",En verano en un destino con playa,Mar del Plata -  En verano
2022/03/16 3:59:45 p.ï¿½m. GMT-3,Entre 35 y 44 aï¿½os,Invierno,Pareja,Relajarse;Deportes / Aventura,Recorrer solo los puntos de interes del destino;Solo alguna excursion especifica;Disfrutar y recorrer tranquilamente,Ski / Snowboard,Concierto o musica en vivo;Fogata nocturna,Aprovechar del alojamiento y salir cuando tienes ganas;Dia de spa/sauna/masajes,Tomar un aperitivo y picar algo;Ir a tomar algo solamente;Lo decido en el momento segun me parece,En Invierno un destino con estacion de ski,Bariloche - En invierno
2022/02/14 2:05:25 p.ï¿½m. GMT-3,Entre 25 y 34 aï¿½os,Verano,Pareja,Hacer turismo en el destino vacacional,Recorrer solo los puntos de interes del destino,Senderismo o Trekking;Caminar,Bar;Festivales del destino si hay en esa fecha,"Disfrutar de la naturaleza, playa, parque,montana",Lo decido en el momento segun me parece,En verano en un destino con playa,Mar del Plata - En verano
2022/02/14 2:07:53 p.ï¿½m. GMT-3,Entre 25 y 34 aï¿½os,Temporadas intermedias ( Otono / Primavera),Familia,Hacer turismo en el destino vacacional,Conocer mayormente el destino por cuenta propia,Senderismo o Trekking,No salgo mucho por la noche,"Disfrutar de la naturaleza, playa, parque,montana, etc","Restaurante tipico del destino",En verano en un destino con playa,Cordoba - Primavera/Verano
2022/02/14 2:11:13 p.ï¿½m. GMT-3,Mï¿½s de 45 aï¿½os,Indiferente,Pareja,Hacer turismo en el destino vacacional;Disfrutar de la gastronomia,Conocer mayormente el destino por cuenta propia,No hago deportes en vacaciones,No salgo mucho por la noche,Aprovechar del alojamiento y salir cuando tienes ganas,Comer algo al paso / Llevar para comer en donde yo quiera,En verano en un destino con playa,Mendoza - Excepto invierno
2022/02/14 2:20:30 p.ï¿½m. GMT-3,Mï¿½s de 45 aï¿½os,Verano,Familia,Relajarse,Conocer mayormente el destino por cuenta propia,No hago deportes en vacaciones,Fiestas o Festivales del destino si hay en esa fecha,"Disfrutar de la naturaleza, playa, parque,montana, etc","Restaurante tipico del destino (con sus platos, tragos, etc)",En verano en un destino con playa,Mar del Plata - En verano
2022/02/14 3:57:18 p.ï¿½m. GMT-3,Entre 25 y 34 aï¿½os,Temporadas intermedias ( Otono / Primavera),Pareja,Relajarse,Disfrutar y recorrer tranquilamente,Senderismo o Trekking;Deportes extremos (Escalada / Parapente / Alpinismo ),Concierto o musica en vivo;Fiestas o Festivales del destino si hay en esa fecha;Fogata nocturna,"Disfrutar de la naturaleza, playa, parque,montana, etc","Restaurante tipico del destino (con sus platos, tragos, etc);Tomar un aperitivo y picar algo;Lo decido en el momento segun me parece",En verano en un destino con montana y naturaleza,Mendoza - Excepto invierno
2022/02/14 3:58:37 p.ï¿½m. GMT-3,Entre 25 y 34 aï¿½os,Indiferente,Familia,Relajarse;Deportes / Aventura,Conocer mayormente el destino por cuenta propia;Disfrutar y recorrer tranquilamente;Ir a Festivales o Eventos si hubiera en esa fecha,Senderismo o Trekking;Deportes acuaticos (Kitesurf / windsurf / Parasailing / Standup Paddle / Kayak / Rafting),Bar;Fiestas o Festivales del destino si hay en esa fecha;Fogata nocturna,"Disfrutar de la naturaleza, playa, parque,montana, etc",Tomar un aperitivo y picar algo;Cadenas (Mc Donals/ Burguer King/ KFC / etc),En otono / primavera en una capital o ciudad grande,Buenos Aires - Excepto en Verano
2022/02/14 4:01:00 p.ï¿½m. GMT-3,Entre 25 y 34 aï¿½os,Verano,Amigos,Hacer turismo en el destino vacacional,Conocer mayormente el destino por cuenta propia,Running,Fogata nocturna,"Disfrutar de la naturaleza, playa, parque,montana, etc",Lo decido en el momento segun me parece,En verano en un destino con montana y naturaleza,Mendoza - Excepto invierno
2022/02/14 4:02:03 p.ï¿½m. GMT-3,Entre 25 y 34 aï¿½os,Verano,Pareja,Relajarse,Conocer mayormente el destino por cuenta propia,No hago deportes en vacaciones,Bar;Concierto o musica en vivo;Fiestas o Festivales del destino si hay en esa fecha,"Disfrutar de la naturaleza, playa, parque,montana, etc;Dia de spa/sauna/masajes","Restaurante tipico del destino (con sus platos, tragos, etc);Tomar un aperitivo y picar algo;Comer algo al paso / Llevar para comer en donde yo quiera",En verano en un destino con montana y naturaleza,Mendoza - Excepto invierno
2022/02/14 4:03:01 p.ï¿½m. GMT-3,Entre 25 y 34 aï¿½os,Indiferente,Pareja,Deportes / Aventura;Disfrutar de la gastronomia,Conocer mayormente el destino por cuenta propia;Solo alguna excursion especifica,Senderismo o Trekking;Ski / Snowboard;Deportes extremos (Escalada / Parapente / Alpinismo ),Concierto o musica en vivo;Fogata nocturna;No salgo mucho por la noche,"Disfrutar de la naturaleza, playa, parque,montana, etc;Actividades de relajacion como yoga, pilates, entre otras","Restaurante tipico del destino (con sus platos, tragos, etc);Lo decido en el momento segun me parece;busco comentarios en Google Maps / TripAdvisor/ Kayak / etc",En verano en un destino con montana y naturaleza,Cordoba - Primavera/Verano
2022/02/14 4:04:12 p.ï¿½m. GMT-3,Menos de 25 aï¿½os,Verano,Pareja,Relajarse;Hacer turismo en el destino vacacional,Conocer mayormente el destino por cuenta propia;Disfrutar y recorrer tranquilamente,No hago deportes en vacaciones,Bar,"Disfrutar de la naturaleza, playa, parque,montana, etc",Comer algo al paso / Llevar para comer en donde yo quiera,En verano en un destino con playa,Mar del Plata - En verano
2022/02/14 4:05:38 p.ï¿½m. GMT-3,Entre 25 y 34 aï¿½os,Verano,Pareja,Relajarse,Conocer mayormente el destino por cuenta propia,Senderismo o Trekking,Concierto o musica en vivo,"Disfrutar de la naturaleza, playa, parque,montana, etc",Lo decido en el momento segun me parece,En verano en un destino con playa,Mar del Plata - En verano
2022/02/14 4:07:09 p.ï¿½m. GMT-3,Entre 25 y 34 aï¿½os,Verano,Pareja,Relajarse;Disfrutar de la gastronomia,Conocer mayormente el destino por cuenta propia,Senderismo o Trekking,Bar,"Disfrutar de la naturaleza, playa, parque,montana, etc","Restaurante tipico del destino (con sus platos, tragos, etc);Tomar un aperitivo y picar algo",En verano en un destino con montana y naturaleza,Mendoza - Excepto invierno
2022/02/14 4:08:52 p.ï¿½m. GMT-3,Entre 25 y 34 aï¿½os,Indiferente,Yo sola,Todos las opciones ,Conocer mayormente el destino por cuenta propia;Disfrutar y recorrer tranquilamente,Senderismo o Trekking;Deportes acuaticos (Kitesurf / windsurf / Parasailing / Standup Paddle / Kayak / Rafting),Bar;Fiestas o Festivales del destino si hay en esa fecha;Fogata nocturna,"Disfrutar de la naturaleza, playa, parque,montana, etc;Actividades de relajacion como yoga, pilates, entre otras",Lo decido en el momento segun me parece;busco comentarios en Google Maps / TripAdvisor/ Kayak / etc,En otono / primavera en una capital o ciudad grande,Buenos Aires - Excepto en Verano
2022/02/14 4:10:07 p.ï¿½m. GMT-3,Entre 25 y 34 aï¿½os,Indiferente,Solo,Relajarse,Conocer mayormente el destino por cuenta propia,Senderismo o Trekking,Bar;Concierto o musica en vivo;Fiestas o Festivales del destino si hay en esa fecha,"Disfrutar de la naturaleza, playa, parque,montana, etc","Restaurante tipico del destino (con sus platos, tragos, etc)",En otono / primavera en una capital o ciudad grande,Cordoba - Primavera/Verano
2022/02/14 4:10:58 p.ï¿½m. GMT-3,Entre 35 y 44 aï¿½os,Indiferente,SOLA,Deportes / Aventura;Hacer turismo en el destino vacacional,Conocer mayormente el destino por cuenta propia;Recorrer solo los puntos de interes del destino;Ir a Festivales o Eventos si hubiera en esa fecha,Senderismo o Trekking;Ski / Snowboard;Deportes acuaticos (Kitesurf / windsurf / Parasailing / Standup Paddle / Kayak / Rafting),Concierto o musica en vivo;Fiestas o Festivales del destino si hay en esa fecha,"Disfrutar de la naturaleza, playa, parque,montana, etc;Aprovechar del alojamiento y salir cuando tienes ganas","Restaurante tipico del destino (con sus platos, tragos, etc);Tomar un aperitivo y picar algo;Lo decido en el momento segun me parece",En verano en un destino con playa,Cordoba - Primavera/Verano
2022/02/14 4:14:17 p.ï¿½m. GMT-3,Entre 35 y 44 aï¿½os,Indiferente,Amigos,Relajarse;Hacer turismo en el destino vacacional,Conocer mayormente el destino por cuenta propia;Disfrutar y recorrer tranquilamente,No hago deportes en vacaciones,Bar;Fiestas o Festivales del destino si hay en esa fecha,"Disfrutar de la naturaleza, playa, parque,montana, etc","Restaurante tipico del destino (con sus platos, tragos, etc);Comer algo al paso / Llevar para comer en donde yo quiera",En verano en un destino con playa,Mar del Plata - En verano
2022/02/14 4:17:39 p.ï¿½m. GMT-3,Entre 25 y 34 aï¿½os,Indiferente,Sola,Deportes / Aventura,Conocer mayormente el destino por cuenta propia,Senderismo o Trekking,Fiestas o Festivales del destino si hay en esa fecha,"Disfrutar de la naturaleza, playa, parque,montana, etc",Lo decido en el momento segun me parece;busco comentarios en Google Maps / TripAdvisor/ Kayak / etc,En verano en un destino con montana y naturaleza,Cordoba - Primavera/Verano
2022/02/14 4:18:01 p.ï¿½m. GMT-3,Entre 35 y 44 aï¿½os,Indiferente,Familia,Deportes / Aventura;Hacer turismo en el destino vacacional,Disfrutar y recorrer tranquilamente,Senderismo o Trekking,No salgo mucho por la noche,"Disfrutar de la naturaleza, playa, parque,montana, etc;Aprovechar del alojamiento y salir cuando tienes ganas",Tomar un aperitivo y picar algo;Lo decido en el momento segun me parece,En Invierno un destino con estacion de ski,Bariloche - En invierno
2022/02/14 4:22:55 p.ï¿½m. GMT-3,Menos de 25 aï¿½os,Indiferente,Pareja,Hacer turismo en el destino vacacional,Conocer mayormente el destino por cuenta propia,No hago deportes en vacaciones,Fiestas o Festivales del destino si hay en esa fecha,"Disfrutar de la naturaleza, playa, parque,montana, etc","Restaurante tipico del destino (con sus platos, tragos, etc)",En otono / primavera en una capital o ciudad grande,Buenos Aires - Excepto en Verano
2022/02/14 4:25:53 p.ï¿½m. GMT-3,Entre 35 y 44 aï¿½os,Verano,Amigos,Relajarse;Playa,Excursiones de agencias turisticas;Conocer mayormente el destino por cuenta propia;Disfrutar y recorrer tranquilamente,Deportes acuaticos (Kitesurf / windsurf / Parasailing / Standup Paddle / Kayak / Rafting),Bar;Fiestas o Festivales del destino si hay en esa fecha;Fogata nocturna,"Disfrutar de la naturaleza, playa, parque,montana, etc","Restaurante tipico del destino (con sus platos, tragos, etc);Tomar un aperitivo y picar algo;Comer algo al paso / Llevar para comer en donde yo quiera",En verano en un destino con playa,Mar del Plata - En verano
2022/02/14 4:26:18 p.ï¿½m. GMT-3,Entre 25 y 34 aï¿½os,Invierno,Pareja,Deportes / Aventura;Hacer turismo en el destino vacacional,Conocer mayormente el destino por cuenta propia,Senderismo o Trekking;Ski / Snowboard,Bar;Concierto o musica en vivo;Fiestas o Festivales del destino si hay en esa fecha,"Disfrutar de la naturaleza, playa, parque,montana, etc;Dia de spa/sauna/masajes","Restaurante tipico del destino (con sus platos, tragos, etc);busco comentarios en Google Maps / TripAdvisor/ Kayak / etc;Comer algo al paso / Llevar para comer en donde yo quiera",En Invierno un destino con estacion de ski,Bariloche - En invierno
2022/02/14 4:29:52 p.ï¿½m. GMT-3,Menos de 25 aï¿½os,Indiferente,Pareja,Relajarse;Disfrutar de la gastronomia,Conocer mayormente el destino por cuenta propia;Disfrutar y recorrer tranquilamente,Running;Surf;Ski / Snowboard,No salgo mucho por la noche,"Disfrutar de la naturaleza, playa, parque,montana, etc;Aprovechar del alojamiento y salir cuando tienes ganas","Restaurante tipico del destino (con sus platos, tragos, etc);Lo decido en el momento segun me parece",En Invierno un destino con estacion de ski,Bariloche - En invierno
2022/02/14 4:33:11 p.ï¿½m. GMT-3,Entre 35 y 44 aï¿½os,Temporadas intermedias ( Otono / Primavera),Mi hija ,Playa,Recorrer solo los puntos de interes del destino,No hago deportes en vacaciones,No salgo mucho por la noche,"Disfrutar de la naturaleza, playa, parque,montana, etc",Lo decido en el momento segun me parece,En verano en un destino con playa,Mar del Plata - En verano
2022/02/14 4:38:07 p.ï¿½m. GMT-3,Entre 25 y 34 aï¿½os,Verano,Amigos,Hacer turismo en el destino vacacional;Disfrutar de la gastronomia,Conocer mayormente el destino por cuenta propia;Solo alguna excursion especifica;Disfrutar y recorrer tranquilamente,Senderismo o Trekking,Bar,"Disfrutar de la naturaleza, playa, parque,montana, etc",Tomar un aperitivo y picar algo;Lo decido en el momento segun me parece,En Invierno un destino con estacion de ski,Bariloche - En invierno
